Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2026-03-04 14:05:12 +0000,Back Squat, 10,102.05828333558512,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Back Squat, 10,102.05828333558512,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Seated Leg Curl, 8,31.751465926626484,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-04 14:05:12 +0000,Seated Leg Curl, 10,52.16312259374351,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Seated Leg Curl, 9,52.16312259374351,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Machine Hip Abductor, 12,104.32624518748702,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Machine Hip Abductor, 12,106.5942070393889,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Standing Machine Calf Press, 10,167.82917704073998,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Standing Machine Calf Press, 10,167.82917704073998,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Standing Machine Calf Press, 9,167.82917704073998,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Hanging Knee Raise, 16,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-04 14:05:12 +0000,Hanging Knee Raise, 13,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-03 14:04:19 +0000,Pull Up, 11,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-03 14:04:19 +0000,Pull Up, 10,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-03 14:04:19 +0000,Barbell Incline Bench Press, 10,20.411656667117025,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-03 14:04:19 +0000,Barbell Incline Bench Press, 6,43.09127518613594,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-03 14:04:19 +0000,Barbell Incline Bench Press, 8,72.57477926086054,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-03 14:04:19 +0000,Barbell Incline Bench Press, 7,74.84274111276243,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-28 16:41:00 +0000,Walking, 0,0.0,1200.0,1609.344,0.0,0.0,false,, 0.0
2026-02-27 14:26:30 +0000,Barbell Incline Bench Press, 10,20.411656667117025,0.0,0.0,0.0,0.0,true,, 1.0
2026-02-27 14:26:30 +0000,Barbell Incline Bench Press, 6,43.09127518613594,0.0,0.0,0.0,0.0,true,, 1.0
2026-02-27 14:26:30 +0000,Barbell Incline Bench Press, 10,70.30681740895864,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Barbell Incline Bench Press, 9,70.30681740895864,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Barbell Incline Bench Press, 6,70.30681740895864,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Pull Up, 9,4.535923703803784,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Pull Up, 6,4.535923703803784,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Cable Rope Overhead Triceps Extension, 10,19.277675741166078,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Cable Rope Overhead Triceps Extension, 11,19.277675741166078,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Behind the Back Cable Bicep Curl, 11,11.339809259509458,0.0,0.0,0.0,0.0,false,, 2.0
2026-02-27 14:26:30 +0000,Behind the Back Cable Bicep Curl, 11,11.339809259509458,0.0,0.0,0.0,0.0,false,, 2.0
2026-02-27 14:26:30 +0000,Cable Lateral Raise, 11,6.8038855557056745,0.0,0.0,0.0,0.0,false,, 2.0
2026-02-27 14:26:30 +0000,Cable Lateral Raise, 10,6.8038855557056745,0.0,0.0,0.0,0.0,false,, 2.0
2026-02-27 14:26:30 +0000,Cable Crunch, 20,92.98643592797755,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Cable Crunch, 19,92.98643592797755,0.0,0.0,0.0,0.0,false,, 1.0
2026-02-27 14:26:30 +0000,Dumbbell Fly, 10,18.14371637742559,0.0,0.0,0.0,0.0,false,, 2.0
2026-02-27 14:26:30 +0000,Dumbbell Fly, 10,18.14371637742559,0.0,0.0,0.0,0.0,false,, 2.0
2026-02-26 14:34:49 +0000,Skierg, 0,0.0,125.0,500.0,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Skierg, 0,0.0,140.0,500.0,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Sled Push, 0,149.68548222552485,0.0,18.287999414784018,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Sled Push, 0,149.68548222552485,0.0,18.287999414784018,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Sled Push, 0,149.68548222552485,0.0,18.287999414784018,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Sled Drag, 0,113.39809259509458,0.0,18.287999414784018,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Sled Drag, 0,113.39809259509458,0.0,18.287999414784018,0.0,0.0,false,, 0.0
2026-02-26 14:34:49 +0000,Sled Drag, 0,113.39809259509458,0.0,18.287999414784018,0.0,0.0,false,, 0.0
